epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,836.555,0.56711,0.94815,0.5237,0.96659,0.7659,0.5979,0.69234,0.5784,0.757,0.60602,0.69049,0.56655,0.6201,1.16751,0.74072,1.05279,0.000346625,0.000346625,0.000346625
75,847.549,0.55211,0.93376,0.53361,0.965,0.74328,0.61824,0.68995,0.57574,0.77861,0.59733,0.69114,0.56356,0.6305,1.20084,0.74468,1.05503,0.00033425,0.00033425,0.00033425
76,858.511,0.52845,0.89573,0.48865,0.95273,0.71967,0.60496,0.68166,0.57857,0.83595,0.5559,0.67748,0.56613,0.61652,1.20018,0.76426,1.05341,0.000321875,0.000321875,0.000321875
77,869.497,0.53291,0.9172,0.50981,0.94696,0.82133,0.59151,0.69032,0.58397,0.82388,0.59724,0.68923,0.57385,0.62436,1.18615,0.76561,1.05259,0.0003095,0.0003095,0.0003095
78,880.502,0.54982,0.94912,0.50295,0.94882,0.81368,0.60884,0.68145,0.57341,0.80722,0.60556,0.68063,0.55934,0.60343,1.17391,0.73024,1.04258,0.000297125,0.000297125,0.000297125
79,891.507,0.51607,0.88131,0.48525,0.93686,0.83388,0.58347,0.68345,0.57179,0.82304,0.57822,0.67573,0.56267,0.60136,1.14475,0.75675,1.03343,0.00028475,0.00028475,0.00028475
80,902.445,0.54029,0.93481,0.48586,0.95679,0.78145,0.64299,0.70012,0.57964,0.76398,0.63098,0.69128,0.57085,0.59863,1.17451,0.69922,1.03274,0.000272375,0.000272375,0.000272375
81,913.369,0.50243,0.86805,0.46873,0.94315,0.77726,0.62251,0.69914,0.58843,0.77726,0.62251,0.69574,0.57512,0.58612,1.18804,0.71369,1.02833,0.00026,0.00026,0.00026
82,924.442,0.53587,0.91027,0.48531,0.95718,0.78571,0.63669,0.70516,0.59472,0.77976,0.61814,0.69187,0.57813,0.59431,1.18031,0.70254,1.02883,0.000247625,0.000247625,0.000247625
83,935.48,0.53559,0.92411,0.50085,0.95159,0.8276,0.62772,0.70977,0.60035,0.8154,0.61938,0.69612,0.58286,0.57601,1.16848,0.69329,1.01456,0.00023525,0.00023525,0.00023525
84,946.511,0.51999,0.89376,0.47047,0.9403,0.79183,0.64512,0.69862,0.59286,0.78872,0.64237,0.69293,0.57641,0.57968,1.15413,0.70363,1.01392,0.000222875,0.000222875,0.000222875
85,957.484,0.52636,0.92783,0.46505,0.93966,0.77964,0.61535,0.6958,0.59326,0.76564,0.60586,0.68752,0.576,0.5666,1.14594,0.71907,1.00138,0.0002105,0.0002105,0.0002105
86,968.49,0.51069,0.88008,0.4531,0.93159,0.81559,0.60876,0.69442,0.59143,0.8095,0.60258,0.68585,0.57348,0.57719,1.17291,0.72245,1.00862,0.000198125,0.000198125,0.000198125
